-atr :: +low :: +word_boundary
+word_boundary :: -high :: +high
+word_boundary :: -high :: -low
+word_boundary :: -high :: +atr
+word_boundary :: +low :: +high
+word_boundary :: +low :: -low
+word_boundary :: +low :: +atr
-high :: +high :: +word_boundary
-high :: -low :: +word_boundary
-high :: +atr :: +word_boundary
+low :: +high :: +word_boundary
+low :: -low :: +word_boundary
+low :: +atr :: +word_boundary
+word_boundary :: -high :: +high
+word_boundary :: -high :: -low
+word_boundary :: -high :: -atr
+word_boundary :: +low :: +high
+word_boundary :: +low :: -low
+word_boundary :: +low :: -atr
-high :: +high :: +word_boundary
-high :: -low :: +word_boundary
-high :: -atr :: +word_boundary
+low :: +high :: +word_boundary
+low :: -low :: +word_boundary
+low :: -atr :: +word_boundary
+word_boundary :: -high :: -high
+word_boundary :: -high :: -low
+word_boundary :: -high :: +atr
+word_boundary :: +low :: -high
+word_boundary :: +low :: -low
+word_boundary :: +low :: +atr
-high :: -high :: +word_boundary
-high :: -low :: +word_boundary
-high :: +atr :: +word_boundary
+low :: -high :: +word_boundary
+low :: -low :: +word_boundary
+low :: +atr :: +word_boundary
+word_boundary :: -high :: -high
+word_boundary :: -high :: -low
+word_boundary :: -high :: -atr
+word_boundary :: +low :: -high
+word_boundary :: +low :: -low
+word_boundary :: +low :: -atr
-high :: -high :: +word_boundary
-high :: -low :: +word_boundary
-high :: -atr :: +word_boundary
+low :: -high :: +word_boundary
+low :: -low :: +word_boundary
+low :: -atr :: +word_boundary
+word_boundary :: -high :: -high
+word_boundary :: -high :: +low
+word_boundary :: +low :: -high
+word_boundary :: +low :: +low
-high :: -high :: +word_boundary
-high :: +low :: +word_boundary
+low :: -high :: +word_boundary
+low :: +low :: +word_boundary
