Feature,Candidate,Step,N_Init,Strategy,Run
+low :: +atr :: -low,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+low :: +atr :: +atr,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+high :: -high :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+high :: -low :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+high :: +atr :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-low :: -high :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-low :: -low :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-low :: +atr :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+atr :: -high :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+atr :: -low :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+atr :: +atr :: +word_boundary,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
