+consonantal :: -strident :: +voice
-continuant :: +tense :: +high
-approximant :: -sonorant :: +lateral
+approximant :: +coronal :: +sonorant
-high :: -approximant :: +word_boundary
-approximant :: +front :: +approximant
+dorsal :: -low :: -tense
+high :: +nasal :: -high
+continuant :: +continuant :: +voice
+nasal :: +lateral :: +tense
-strident :: +strident :: -back
-continuant :: +consonantal :: -back
+labial :: +approximant :: +voice
-consonantal :: -front :: +spread
+low :: +voice :: +continuant
+back :: +nasal :: +lateral
-approximant :: +front :: +tense
+high :: -high :: -voice
+labial :: +anterior :: -sonorant
+dorsal :: -high :: +tense
-strident :: -front :: +front
+tense :: -high :: -sonorant
+labial :: +front :: +labial
+strident :: +consonantal :: -anterior
+anterior :: -voice :: +dorsal
+nasal :: +spread :: +continuant
+approximant :: +consonantal :: -continuant
-tense :: -consonantal :: +tense
+low :: +tense :: -labial
-voice :: +sonorant :: -anterior
+labial :: -approximant :: +front
+anterior :: +low :: +word_boundary
+front :: -low :: -continuant
+dorsal :: +sonorant :: +back
-back :: +anterior :: -voice
-low :: -voice :: +approximant
+anterior :: -back :: +labial
-high :: +back :: +approximant
-front :: +tense :: -sonorant
+labial :: -voice :: +strident
+consonantal :: +strident :: +low
-approximant :: -tense :: +anterior
+high :: -low :: +back
-front :: +nasal :: -approximant
-front :: -tense :: +lateral
+strident :: -tense :: +anterior
+strident :: -low :: -strident
+tense :: +labial :: -back
+consonantal :: +low :: +consonantal
+strident :: -front :: +consonantal
+consonantal :: +lateral :: -labial
+sonorant :: +approximant :: +spread
-anterior :: +low :: +back
-approximant :: +spread :: +approximant
+dorsal :: -labial :: -low
+labial :: +approximant :: +front
+high :: +continuant :: +anterior
+spread :: +lateral :: +strident
-front :: -labial :: -consonantal
+back :: -labial :: -strident
-front :: -anterior :: -high
-front :: -labial :: +sonorant
+nasal :: -consonantal :: -back
-tense :: +approximant :: -sonorant
+anterior :: -voice :: -low
+front :: +labial :: -consonantal
-approximant :: +tense :: -tense
+labial :: -voice :: -consonantal
+strident :: +voice :: +sonorant
+spread :: +voice :: +voice
-high :: -back :: +anterior
-front :: +coronal :: +voice
+spread :: +high :: -anterior
+low :: -high :: +back
-high :: +approximant :: +word_boundary
+front :: -labial :: -approximant
+tense :: +coronal :: +sonorant
-back :: +coronal :: +continuant
+anterior :: +sonorant :: +nasal
+tense :: +approximant :: -consonantal
-voice :: +front :: -low
-anterior :: -high :: -consonantal
+dorsal :: -low :: +continuant
-back :: -continuant :: +tense
+word_boundary :: +low :: +spread
+consonantal :: +coronal :: -front
+strident :: +voice :: +continuant
-labial :: -labial :: +spread
+spread :: +spread :: +word_boundary
+labial :: -approximant :: -consonantal
-approximant :: -tense :: -anterior
+back :: +continuant :: -strident
-approximant :: +sonorant :: +approximant
+approximant :: -high :: +strident
-consonantal :: -back :: -tense
+continuant :: +dorsal :: +lateral
+continuant :: -labial :: +strident
+anterior :: -approximant :: +anterior
+tense :: -consonantal :: -low
+anterior :: +tense :: +anterior
+approximant :: +consonantal :: +front
+coronal :: -strident :: +high
-strident :: +strident :: +labial
+dorsal :: +dorsal :: -consonantal
+tense :: -labial :: +coronal
-front :: +lateral :: -voice
+front :: -anterior :: -back
-high :: -voice :: -voice
+back :: +nasal :: +strident
+high :: +tense :: +continuant
+voice :: +dorsal :: +lateral
-low :: +labial :: +anterior
-strident :: -back :: -front
+approximant :: +continuant :: -sonorant
+continuant :: -anterior :: -consonantal
+sonorant :: -labial :: -back
+spread :: +coronal :: +high
+labial :: +front :: +lateral
-anterior :: +labial :: -strident
+back :: +dorsal :: +voice
-back :: +labial :: +labial
+nasal :: -approximant :: +spread
+lateral :: -front :: +word_boundary
-front :: +low :: +consonantal
+front :: -strident :: +anterior
+sonorant :: +sonorant :: +anterior
+coronal :: +labial :: +back
-anterior :: -approximant :: +dorsal
-low :: -labial :: +tense
+labial :: +dorsal :: +strident
+sonorant :: +coronal :: -strident
-anterior :: -back :: +consonantal
+voice :: -voice :: -strident
-tense :: +tense :: -high
+high :: -continuant :: +nasal
-anterior :: +dorsal :: -high
+word_boundary :: -anterior :: +word_boundary
+continuant :: -approximant :: +continuant
+low :: +low :: -consonantal
+consonantal :: -front :: -sonorant
-front :: -strident :: +front
-labial :: +spread :: +approximant
-low :: -sonorant :: +sonorant
+consonantal :: +labial :: +anterior
+tense :: -sonorant :: +front
+voice :: -back :: -sonorant
+high :: +coronal :: -low
-strident :: -voice :: +dorsal
+continuant :: +strident :: -high
+sonorant :: +nasal :: +approximant
+labial :: +high :: -labial
+consonantal :: -low :: -front
+front :: +strident :: -back
-anterior :: -tense :: +back
+lateral :: -sonorant :: -continuant
+nasal :: -front :: +anterior
-tense :: +nasal :: +dorsal
+front :: +dorsal :: +nasal
-strident :: +nasal :: +sonorant
+sonorant :: -sonorant :: +spread
-front :: +lateral :: -front
-tense :: -voice :: -tense
-voice :: +labial :: +sonorant
+voice :: +lateral :: +strident
+labial :: +spread :: +word_boundary
+front :: +spread :: +labial
+front :: -high :: +approximant
-tense :: +continuant :: -voice
-front :: +front :: +strident
+coronal :: -low :: +approximant
+labial :: +back :: +lateral
+sonorant :: +lateral :: +low
-strident :: -sonorant :: +continuant
-low :: +spread :: +tense
+continuant :: +dorsal :: -back
+low :: -approximant :: -approximant
-low :: +dorsal :: +labial
-front :: -back :: -back
-approximant :: -anterior :: +anterior
-high :: +voice :: +strident
+dorsal :: -consonantal :: -labial
-high :: -anterior :: -tense
+front :: +high :: +high
+front :: +spread :: +spread
-back :: +low :: +spread
-consonantal :: +low :: +high
+labial :: -continuant :: +coronal
+word_boundary :: +labial :: -voice
+word_boundary :: +labial :: -front
-voice :: -front :: +approximant
+spread :: -front :: +labial
+continuant :: +consonantal :: +strident
-front :: -labial :: +word_boundary
+high :: -strident :: +voice
-low :: -front :: +dorsal
+sonorant :: -consonantal :: -front
+strident :: -voice :: -low
-tense :: -tense :: +anterior
+front :: -low :: -anterior
-back :: +voice :: +dorsal
-voice :: -back :: -back
-low :: +tense :: +front
-continuant :: -voice :: +back
-back :: +nasal :: -anterior
-sonorant :: +back :: -tense
+front :: -approximant :: +low
+dorsal :: +consonantal :: -front
-sonorant :: +voice :: -continuant
+back :: +dorsal :: -back
-low :: +approximant :: -low
+dorsal :: -labial :: -labial
+labial :: +anterior :: -front
+labial :: +tense :: +back
-front :: +front :: +low
-high :: +coronal :: +front
+high :: -voice :: +back
+tense :: +approximant :: +approximant
-low :: -high :: -anterior
+sonorant :: -tense :: +spread
+word_boundary :: +back :: -labial
-tense :: -back :: -tense
+coronal :: +coronal :: -consonantal
-consonantal :: -consonantal :: +spread
+low :: +back :: -strident
-strident :: +dorsal :: -voice
+voice :: -tense :: +low
+low :: +dorsal :: -high
-continuant :: +labial :: -voice
+low :: +lateral :: -labial
+sonorant :: -approximant :: +front
-sonorant :: -consonantal :: +strident
+dorsal :: -back :: -consonantal
+labial :: +consonantal :: -approximant
+continuant :: +spread :: +low
-strident :: -voice :: +spread
+tense :: -tense :: +approximant
-labial :: +nasal :: -strident
-approximant :: -tense :: +strident
+nasal :: +high :: -continuant
-tense :: +low :: +approximant
+lateral :: -continuant :: +lateral
-continuant :: +consonantal :: +approximant
+approximant :: +low :: -front
+voice :: +spread :: -high
-strident :: -labial :: -anterior
-sonorant :: +strident :: -voice
+high :: +coronal :: +word_boundary
+spread :: +high :: +high
+tense :: +lateral :: -labial
-front :: +labial :: -anterior
+labial :: +consonantal :: +front
+coronal :: -voice :: +approximant
+strident :: +low :: -labial
-anterior :: +back :: +lateral
+approximant :: +lateral :: +nasal
+high :: -approximant :: +high
+lateral :: +labial :: -front
+spread :: -continuant :: -voice
+approximant :: -approximant :: +labial
+spread :: -back :: +word_boundary
-approximant :: +lateral :: +strident
-approximant :: +anterior :: -strident
-sonorant :: -back :: -voice
+consonantal :: +dorsal :: +tense
-back :: +front :: +lateral
+tense :: +tense :: +consonantal
-continuant :: +spread :: +coronal
-labial :: +sonorant :: +high
-voice :: -continuant :: -high
-anterior :: +spread :: -consonantal
-low :: +lateral :: +approximant
-continuant :: -continuant :: +continuant
-front :: +continuant :: +dorsal
+tense :: -back :: -anterior
+strident :: +labial :: -labial
-high :: +anterior :: +high
+approximant :: -tense :: +strident
+low :: +voice :: -continuant
-voice :: +high :: +tense
+front :: +tense :: +consonantal
+strident :: +front :: -tense
+high :: +strident :: -continuant
-continuant :: -front :: +sonorant
+nasal :: +nasal :: +coronal
+consonantal :: -strident :: +consonantal
+dorsal :: -high :: -voice
+coronal :: -approximant :: +coronal
+low :: +voice :: -consonantal
+approximant :: +sonorant :: +high
-anterior :: +back :: -voice
-voice :: -sonorant :: +consonantal
+approximant :: -labial :: -voice
-approximant :: -continuant :: +anterior
+back :: +strident :: +word_boundary
+labial :: +coronal :: +labial
+consonantal :: +spread :: -voice
+continuant :: +anterior :: +tense
+consonantal :: +labial :: -low
+approximant :: -sonorant :: -consonantal
+nasal :: -tense :: -front
-voice :: -high :: +strident
+voice :: -high :: +voice
-strident :: -strident :: -tense
-anterior :: -anterior :: +labial
+tense :: +low :: +word_boundary
+spread :: -sonorant :: +tense
-labial :: -front :: -high
+coronal :: +anterior :: +anterior
+nasal :: +approximant :: -back
-tense :: +coronal :: +voice
-strident :: +consonantal :: +front
-sonorant :: +nasal :: +spread
+strident :: +strident :: -low
+strident :: +high :: -continuant
-strident :: +front :: +tense
-high :: -front :: +high
-consonantal :: +high :: -anterior
+dorsal :: +spread :: -anterior
+dorsal :: -high :: -high
-approximant :: +sonorant :: -strident
-strident :: -anterior :: +dorsal
+coronal :: +back :: +nasal
+approximant :: +coronal :: +nasal
+approximant :: +sonorant :: +front
-consonantal :: +approximant :: +coronal
+word_boundary :: -strident :: -back
+spread :: +tense :: +low
-anterior :: -sonorant :: +lateral
-labial :: +labial :: +labial
+front :: -front :: +lateral
-low :: +low :: -continuant
+dorsal :: -low :: +tense
-approximant :: -sonorant :: +back
+sonorant :: +consonantal :: -anterior
-low :: +strident :: +strident
+lateral :: +low :: +front
-back :: -back :: -strident
-consonantal :: +spread :: -low
-strident :: -tense :: +strident
+low :: +lateral :: -sonorant
+continuant :: -voice :: +back
+sonorant :: -back :: +tense
-back :: -low :: -low
+continuant :: +continuant :: +high
+consonantal :: +low :: +high
+strident :: +spread :: -strident
+approximant :: +labial :: +strident
+lateral :: +front :: +anterior
-approximant :: -high :: +consonantal
+consonantal :: +high :: +approximant
+high :: -consonantal :: +continuant
+dorsal :: +spread :: +low
+nasal :: +spread :: +front
+strident :: +lateral :: +voice
-high :: -continuant :: -approximant
+front :: +back :: -back
+spread :: +spread :: -consonantal
+consonantal :: -high :: -sonorant
+tense :: +low :: -sonorant
-sonorant :: +lateral :: -high
+spread :: -voice :: +labial
-back :: +dorsal :: +dorsal
+spread :: -low :: +lateral
+word_boundary :: -sonorant :: +continuant
-continuant :: +approximant :: +coronal
+sonorant :: -high :: +voice
+low :: -high :: -labial
-anterior :: +nasal :: +labial
-anterior :: +sonorant :: +voice
-sonorant :: +low :: +spread
-labial :: +continuant :: +back
+word_boundary :: -back :: +back
-voice :: -sonorant :: +lateral
-tense :: +spread :: +low
+nasal :: +tense :: -continuant
+labial :: +anterior :: +lateral
+lateral :: -high :: -tense
+front :: -strident :: -approximant
+high :: -sonorant :: +consonantal
+anterior :: +back :: +lateral
+anterior :: +voice :: +lateral
-low :: +approximant :: -voice
+high :: +labial :: -front
+strident :: -sonorant :: +nasal
+word_boundary :: -high :: -tense
+dorsal :: +labial :: +back
-continuant :: +approximant :: +strident
-anterior :: -back :: +nasal
+voice :: +strident :: +low
+low :: +sonorant :: -continuant
+front :: +front :: +high
+back :: +tense :: -strident
-strident :: -back :: +consonantal
+low :: -consonantal :: -continuant
+word_boundary :: -back :: -anterior
-consonantal :: +high :: +labial
+strident :: +labial :: +dorsal
-voice :: +low :: -consonantal
+strident :: -anterior :: +continuant
+labial :: +front :: +word_boundary
-sonorant :: +voice :: +tense
+voice :: -approximant :: +high
-sonorant :: +labial :: -voice
+strident :: +dorsal :: -approximant
-consonantal :: +tense :: -back
+approximant :: +coronal :: -voice
+lateral :: +front :: -low
+coronal :: -consonantal :: -sonorant
-consonantal :: -strident :: -front
+anterior :: -consonantal :: -strident
+word_boundary :: +low :: -voice
-back :: +voice :: +word_boundary
+consonantal :: -tense :: -continuant
+strident :: +back :: +coronal
+back :: +high :: -strident
+low :: +labial :: -strident
+nasal :: +approximant :: +low
+labial :: -voice :: +approximant
-tense :: +voice :: +voice
-sonorant :: -voice :: -voice
-tense :: +anterior :: -labial
+anterior :: +lateral :: +labial
-consonantal :: +consonantal :: +tense
+back :: -labial :: +word_boundary
+nasal :: -continuant :: -voice
+lateral :: +high :: +sonorant
+coronal :: -strident :: -high
+sonorant :: -sonorant :: +word_boundary
+lateral :: +spread :: -consonantal
-continuant :: -high :: -strident
-voice :: -sonorant :: +continuant
+lateral :: +strident :: -low
+low :: +continuant :: +spread
+voice :: -consonantal :: +front
+word_boundary :: +high :: +tense
-continuant :: -labial :: +labial
-consonantal :: +continuant :: -labial
+approximant :: -tense :: +front
+high :: +dorsal :: +continuant
-low :: +lateral :: -labial
+front :: +consonantal :: +nasal
+anterior :: -tense :: -strident
-anterior :: +nasal :: -voice
+strident :: +dorsal :: +sonorant
+word_boundary :: +dorsal :: +dorsal
+lateral :: +lateral :: +front
-anterior :: +high :: +low
+front :: -strident :: +labial
-anterior :: +sonorant :: -low
-back :: -tense :: +strident
+back :: +front :: +anterior
+anterior :: -tense :: -anterior
-continuant :: +tense :: +coronal
-sonorant :: -voice :: +tense
+voice :: +lateral :: -consonantal
+tense :: -voice :: +anterior
+word_boundary :: -high :: +labial
+sonorant :: +lateral :: +front
-continuant :: +strident :: +dorsal
-front :: -low :: +strident
+high :: +front :: +consonantal
+low :: -sonorant :: +high
+low :: -sonorant :: +dorsal
+strident :: +labial :: -consonantal
+high :: +front :: +approximant
+nasal :: +dorsal :: -back
+voice :: -continuant :: +nasal
-front :: -continuant :: +strident
+high :: -front :: -labial
+nasal :: +labial :: +strident
-back :: +dorsal :: +lateral
+dorsal :: +spread :: +strident
+dorsal :: -front :: -low
+lateral :: +back :: +nasal
+lateral :: -tense :: +low
+voice :: +spread :: -approximant
-sonorant :: +nasal :: +strident
+word_boundary :: +labial :: -sonorant
-continuant :: -labial :: -tense
-approximant :: +sonorant :: +dorsal
+anterior :: -approximant :: +low
+low :: +dorsal :: -continuant
+lateral :: +lateral :: -tense
-sonorant :: -anterior :: -back
+dorsal :: +voice :: +approximant
-front :: -sonorant :: +voice
+strident :: -high :: -sonorant
-sonorant :: -back :: +coronal
+sonorant :: +tense :: -continuant
+nasal :: -labial :: +sonorant
-tense :: -sonorant :: +front
+high :: -approximant :: -back
-low :: -labial :: -low
+continuant :: +continuant :: -consonantal
+strident :: +spread :: +strident
-continuant :: +low :: +low
-front :: -strident :: -approximant
+dorsal :: +labial :: +anterior
-strident :: -consonantal :: +sonorant
+anterior :: +tense :: -high
-tense :: +anterior :: +tense
+nasal :: -tense :: +nasal
+voice :: +high :: +high
+approximant :: +coronal :: +labial
-continuant :: -strident :: +continuant
-anterior :: +anterior :: +coronal
-back :: +back :: -voice
+low :: +labial :: +anterior
-continuant :: +back :: -consonantal
-tense :: +low :: +front
+word_boundary :: +back :: +tense
-strident :: +spread :: -consonantal
+consonantal :: -continuant :: -approximant
+nasal :: +continuant :: +high
+nasal :: -tense :: -low
+approximant :: -low :: +high
-low :: -low :: -low
+anterior :: -low :: -continuant
+consonantal :: -high :: +coronal
+word_boundary :: -front :: -continuant
+approximant :: -continuant :: +consonantal
+approximant :: +continuant :: +spread
-low :: -anterior :: -anterior
+high :: -continuant :: -anterior
+high :: -sonorant :: +nasal
+back :: +strident :: +labial
-anterior :: +nasal :: +spread
+high :: -sonorant :: +labial
-consonantal :: +low :: -anterior
+strident :: +high :: +labial
+approximant :: -back :: -tense
+lateral :: -high :: -front
+word_boundary :: -voice :: -consonantal
+sonorant :: -continuant :: +continuant
+dorsal :: -sonorant :: -labial
+labial :: +labial :: -consonantal
+continuant :: -back :: -approximant
-voice :: -sonorant :: +high
-strident :: +front :: +labial
+dorsal :: +voice :: +voice
+strident :: +approximant :: +voice
+word_boundary :: -anterior :: -continuant
-front :: +voice :: -front
-continuant :: -anterior :: +tense
-high :: +approximant :: -sonorant
+voice :: +approximant :: -high
+dorsal :: +tense :: -tense
-voice :: +high :: +nasal
+lateral :: -continuant :: +continuant
+front :: -front :: +approximant
+approximant :: +front :: +consonantal
+labial :: +dorsal :: -labial
+high :: +voice :: +word_boundary
+labial :: +low :: -anterior
-labial :: -front :: -strident
+high :: +strident :: +spread
+anterior :: -voice :: -high
+continuant :: -voice :: -approximant
+back :: +consonantal :: +anterior
-labial :: +lateral :: -anterior
+voice :: -consonantal :: +low
-tense :: +lateral :: +anterior
+nasal :: -back :: +front
-sonorant :: +anterior :: -sonorant
+dorsal :: -consonantal :: +word_boundary
-back :: +consonantal :: +back
-high :: -sonorant :: +consonantal
-continuant :: +strident :: -high
+sonorant :: +approximant :: -consonantal
+approximant :: +strident :: -sonorant
-labial :: -back :: -strident
-strident :: +back :: +tense
+coronal :: +front :: -voice
-strident :: +coronal :: +back
+coronal :: -strident :: -approximant
-approximant :: +continuant :: +continuant
+back :: +coronal :: -low
-consonantal :: +front :: +nasal
-low :: -anterior :: -continuant
+sonorant :: -approximant :: +consonantal
-strident :: +lateral :: -back
+front :: +strident :: -sonorant
-approximant :: +sonorant :: -continuant
+tense :: -anterior :: -approximant
+coronal :: -front :: -labial
-low :: -sonorant :: +front
+voice :: +high :: +labial
+dorsal :: +approximant :: +word_boundary
-labial :: +spread :: -front
-labial :: -sonorant :: -high
-sonorant :: +back :: +dorsal
-sonorant :: -tense :: -front
+anterior :: +back :: -high
-strident :: +high :: +sonorant
-continuant :: +nasal :: +voice
+back :: +dorsal :: +consonantal
+word_boundary :: -consonantal :: +back
+lateral :: +sonorant :: +sonorant
+high :: -front :: +continuant
-approximant :: +spread :: +sonorant
+anterior :: +consonantal :: +dorsal
+nasal :: -approximant :: -continuant
